20221108T000244.000Z,72000006,PPPU8CUQV,6725,0,26000016,26000024,26000027,26000038,26000039,26000064,28000000,28000001,9UVLL8CQQ,6758,1,26000015,26000023,26000069,27000009,28000009,28000010,28000012,28000015
20221108T000322.000Z,72000006,8228UU0U,6656,0,26000023,26000034,26000037,26000042,26000074,28000005,28000010,28000012,2YGLQP8RJ,6713,1,26000026,26000027,26000046,26000053,26000054,28000004,28000006,28000017
20221108T000330.000Z,72000006,2L8QYCU8V,6619,0,26000004,26000041,26000080,27000010,28000001,28000004,28000006,28000007,2C0V9QY8Y,6680,1,26000010,26000013,26000085,26000087,27000007,28000006,28000012,28000016
20221108T000342.000Z,72000006,R09QYY2Q,6521,1,26000002,26000045,26000049,26000069,28000009,28000010,28000012,28000017,2LU82CYR,6459,0,26000023,26000069,26000087,27000009,28000009,28000010,28000012,28000015
20221108T000403.000Z,72000006,JCQ8YLQ8C,6598,1,26000019,26000022,26000032,26000041,26000054,27000002,28000000,28000011,20GQ20R2V,6556,0,26000014,26000016,26000018,26000042,26000054,26000055,28000007,28000008
20221108T000416.000Z,72000323,8RPYC0Q9J,30,1,26000006,26000007,26000011,26000014,26000015,26000027,26000035,28000001,8GRGPY9U0,0,0,26000015,26000029,26000032,26000069,26000087,27000009,28000000,28000001
20221108T000430.000Z,72000006,PLL0L2PY,6713,3,26000016,26000041,26000083,26000085,26000087,27000012,28000007,28000012,LP9PCVUU9,6675,0,26000063,26000067,26000068,26000087,27000005,28000002,28000006,28000012
20221108T000444.000Z,72000006,2GJ9YCCQ,6786,2,26000026,26000040,26000041,26000054,26000087,28000004,28000009,28000017,2CVJL2QPQ,6704,1,26000009,26000011,26000037,26000046,26000048,26000049,28000001,28000007
20221108T000446.000Z,72000323,8R0QVYV20,0,0,26000017,26000021,26000041,26000050,27000006,28000005,28000008,28000011,8G8L9URUJ,30,3,26000016,26000032,26000041,26000049,26000050,26000055,26000072,28000008
20221108T000453.000Z,72000323,80Y0VPRYR,30,3,26000004,26000032,26000042,26000050,26000057,27000001,28000008,28000009,2Y8L282RV,0,0,26000010,26000030,26000045,26000069,26000087,28000005,28000010,28000012
20221108T000455.000Z,72000006,YLJJPRRYV,6533,1,26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,8Q8Q08CC,6509,0,26000004,26000027,26000042,26000046,26000051,26000083,28000008,28000009
20221108T000459.000Z,72000007,2VG20VLC,6674,1,26000037,26000046,26000051,26000055,26000072,28000000,28000015,28000017,2UL2VYJJC,6512,0,26000001,26000010,26000011,26000030,27000002,28000003,28000011,28000012
20221108T000503.000Z,72000323,2RJCQJQRP,30,1,26000023,26000069,26000087,27000009,28000009,28000010,28000012,28000015,2LVP8P2U0,0,0,26000009,26000015,26000048,26000069,27000009,28000007,28000012,28000015
20221108T000503.000Z,72000323,UVCVQPP2,30,1,26000003,26000012,26000034,26000037,26000042,27000010,28000001,28000007,QUJ9R99,0,0,26000011,26000032,26000058,26000062,27000004,28000000,28000011,28000012
20221108T000512.000Z,72000323,8QU9Y9RCU,30,1,26000000,26000001,26000010,26000030,27000002,28000003,28000011,28000012,2URGQLYQ0,0,0,26000011,26000021,26000032,26000042,26000045,26000084,28000012,28000014
20221108T000517.000Z,72000323,QJ8P9P0,0,0,26000000,26000001,26000014,26000021,26000022,26000031,28000003,28000004,20P2Y0V0P,30,1,26000017,26000018,26000021,26000034,27000009,28000000,28000008,28000011
20221108T000533.000Z,72000006,RP90YL0CC,6534,2,26000006,26000034,26000035,26000037,26000063,28000005,28000012,28000015,820G9CRRV,6500,1,26000011,26000026,26000041,26000084,27000003,28000003,28000004,28000011
20221108T000538.000Z,72000006,2R902VRJC,6500,0,26000015,26000023,26000069,27000009,28000009,28000010,28000012,28000015,2G8QG8YV9,6571,1,26000012,26000015,26000034,26000037,26000069,28000005,28000010,28000012
20221108T000545.000Z,72000323,PCQPCQCY,0,0,26000011,26000015,26000023,27000009,28000009,28000010,28000012,28000015,9CY8LPG9U,30,1,26000020,26000024,26000044,26000052,26000061,26000084,28000007,28000011
20221108T000559.000Z,72000323,VCP89V8J,0,1,26000007,26000022,26000043,26000059,26000064,26000067,28000000,28000003,UGL8G8Q2,30,3,26000006,26000017,26000018,26000035,28000005,28000006,28000008,28000012
20221108T000602.000Z,72000006,J00GUCJ9,6186,1,26000010,26000018,26000031,26000040,26000059,28000003,28000011,28000018,22ULUULQL,6126,0,26000020,26000027,26000041,26000045,27000013,28000000,28000008,28000015
20221108T000609.000Z,72000006,9RRPYC8U,6583,1,26000027,26000031,26000037,26000085,27000000,28000007,28000012,28000015,80RY0RJQV,6529,0,26000004,26000007,26000011,26000015,26000021,28000007,28000011,28000012
20221108T000611.000Z,72000006,PVC2QLRG,6588,0,26000011,26000033,26000041,26000049,26000056,26000062,26000077,27000010,2JLUU9QVC,6672,1,26000009,26000015,26000048,26000069,27000009,28000007,28000012,28000015
20221108T000617.000Z,72000323,YGQUGJC,0,0,26000000,26000001,26000010,26000030,27000006,27000008,28000000,28000011,Y8L8GY2V,30,1,26000045,26000069,26000087,27000009,28000009,28000010,28000012,28000015
20221108T000634.000Z,72000006,JGRVLCVP,6611,1,26000013,26000074,26000083,26000085,26000087,27000012,28000007,28000012,9PYV8L2PR,6555,0,26000018,26000021,26000025,26000037,26000049,26000055,28000007,28000008
20221108T000638.000Z,72000006,8VUGQ02QJ,6535,0,26000012,26000019,26000032,26000049,26000069,27000002,28000000,28000011,89Q8P0Y2V,6617,1,26000024,26000027,26000061,26000072,26000083,26000084,28000007,28000011
20221108T000646.000Z,72000006,Y2QG8YRYV,6665,1,26000010,26000023,26000061,26000074,26000087,28000005,28000010,28000011,2L8QYCU8V,6591,0,26000004,26000041,26000080,27000010,28000001,28000004,28000006,28000007
20221108T000650.000Z,72000006,Q9GJCLU9,6782,1,26000010,26000024,26000050,26000061,26000072,26000084,28000000,28000011,9GJG8R8GQ,6710,0,26000004,26000015,26000027,26000032,26000042,26000046,28000000,28000008
20221108T000652.000Z,72000006,PYQP0RR9,6622,0,26000003,26000017,26000025,26000033,26000041,27000004,28000008,28000012,P892JQUUQ,6661,1,26000010,26000039,26000052,26000077,27000009,28000009,28000010,28000015
20221108T000701.000Z,72000006,YPCQLJ0JQ,6531,1,26000003,26000012,26000034,26000048,26000049,28000001,28000010,28000017,2V8VGP2RR,6500,0,26000012,26000032,26000040,26000041,26000069,26000087,27000002,28000000
20221108T000703.000Z,72000066,RGU8GP82,5586,0,26000007,26000012,26000020,27000003,28000001,28000003,28000006,28000013,8G29LPUJ,6823,2,26000000,26000030,26000031,26000040,26000056,27000000,28000004,28000011
20221108T000709.000Z,72000323,GY8Q0JQ,30,1,26000047,26000052,26000057,26000059,26000084,27000012,28000000,28000015,2CUL22QU,0,0,26000010,26000013,26000018,26000085,26000087,27000007,28000006,28000012
20221108T000718.000Z,72000006,PYPVPUYJ9,6690,1,26000063,26000067,26000068,26000087,27000005,28000006,28000012,28000016,2YGLQP8RJ,6743,2,26000026,26000027,26000046,26000053,26000054,28000004,28000006,28000017
20221108T000729.000Z,72000323,8CC2PQL9,0,0,26000000,26000001,26000013,26000017,26000018,26000021,26000025,28000008,2GQQ2YGL,30,1,26000043,26000063,26000067,26000068,26000087,28000001,28000002,28000009
20221108T000733.000Z,72000323,P2LR2R9R0,0,0,26000007,26000011,26000018,26000026,26000041,26000064,28000004,28000008,P28PUCQJ8,30,1,26000036,26000043,26000046,26000050,26000062,26000072,28000011,28000016
20221108T000749.000Z,72000323,8L0JLVPGV,30,2,26000016,26000026,26000040,26000041,26000053,28000003,28000004,28000011,8GRGPY9U0,0,1,26000015,26000029,26000032,26000069,26000087,27000009,28000000,28000001
20221108T000751.000Z,72000006,QGP9CYJCQ,6511,0,26000024,26000050,26000061,26000083,26000084,26000087,28000007,28000011,LC0CQ82Q2,6560,3,26000047,26000052,26000059,26000087,27000012,28000000,28000006,28000015
20221108T000753.000Z,72000007,2RV2GYYCG,5262,0,26000004,26000007,26000021,26000040,26000042,26000062,28000008,28000011,2C2RY0VJ,6617,2,26000010,26000035,26000077,26000087,27000007,28000006,28000012,28000016
